Numéro de projet,Numéro de client (facturé),Numéro de client (livré à),Numéro du produit,Devise étrangère,Prix,Prix coûtant régulier ou prix de détail sugg.,Prix détail (T) / coûtant (F),Quantité à recevoir,Escompte - Pourcentage,Sous-total,Code de taxe provinciale,Code de taxe fédérale,Escompte - Montant fixe,Code de produit (fournisseur),Numéro séquentiel de la commande client,Numéro séquentiel de commande,Code d'activité,Description,Numéro de la ligne,Quantité reçue,Poste d'achat,Quantité commandée,Code identification unique,Numéro séquentiel,Numéro du fournisseur,Commande en retard (T/F),"Type de facturation (1=n/a, 2=cpte ouv., 3=réq.)",Activité d'attribution
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001317,,"SELON PLANS, DEVIS ET ADDENDA POUR CONSTRUCTION",001,0.0000,,0.0000,KIAOVMBWV,0001297,PRO-TECK--,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001317,,DE JACQUES ET GERVAIS ARCH. ET ENERCO GROUPE CONSEIL,002,0.0000,,0.0000,G004K7CA9,0001297,PRO-TECK--,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001317,,BSDQ 100000926593,003,0.0000,,0.0000,WSFY9MOEC,0001297,PRO-TECK--,FALSE,3,
0000023019,FESTIVAL-W,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001317,15401,Plomberie,004,59403.0000,33500,59403.0000,RKF4LGP71,0001297,PRO-TECK--,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001318,,"SELON PLANS, DEVIS ET ADDENDAS POUR CONSTRUCTION",001,0.0000,,0.0000,1BWMV9H5F,0001298,SHALWIN---,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001318,,DE JACQUES ET GERVAIS ARCH. ET ENERCO GROUPE CONSEIL,002,0.0000,,0.0000,9AQ7B90C4,0001298,SHALWIN---,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001318,,BSDQ 100000926445,003,0.0000,,0.0000,GXMPNZ7QC,0001298,SHALWIN---,FALSE,3,
0000023019,FESTIVAL-W,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001318,08000,PORTES ET FENETRES,004,137558.5600,33500,137558.5600,R3OBAYQQP,0001298,SHALWIN---,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001319,,"SELON PLANS, DEVIS ET ADDENDAS",001,0.0000,,0.0000,5Y41Q4Q7G,0001299,SYS-MAURIC,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001319,,DE JACQUES ET GERVAIS ARCH. ET ENERCO GROUPE CONSEIL,002,0.0000,,0.0000,AK7YDXVJ0,0001299,SYS-MAURIC,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001319,,BSDQ 100000926611,003,0.0000,,0.0000,JTKBJ8M7G,0001299,SYS-MAURIC,FALSE,3,
0000023019,FESTIVAL-W,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001319,09200,Plâtre et plaques de plâtre,004,44110.0000,33500,44110.0000,SH8BZAQ45,0001299,SYS-MAURIC,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001322,,"SELON PLANS, DEVIS ET ADDENDAS",001,0.0000,,0.0000,L1TIXJJ3V,0001302,DECOLAM---,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001322,,DE JACQUES ET GERVAIS ARCH. ET ENERCO GROUPE CONSEIL,002,0.0000,,0.0000,5SESO2BU0,0001302,DECOLAM---,FALSE,3,
0000023019,FESTIVAL-W,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001322,10000,CLOISONS DE STRATIFIÉ POUR SALLES DE TOILETTES,003,16100.0000,33500,16100.0000,TRAN3S3U0,0001302,DECOLAM---,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001323,,"SELON PLANS, DEVIS ET ADDENDAS",001,0.0000,,0.0000,OJ8DKJOQQ,0001303,PEINT-DUPO,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001323,,DE JACQUES ET GERVAIS ARCH. ET ENERCO GROUPE CONSEIL,002,0.0000,,0.0000,EYYTG4QWD,0001303,PEINT-DUPO,FALSE,3,
0000023019,FESTIVAL-W,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001323,09910,Peintures,003,15894.0000,33500,15894.0000,WERLYFOZF,0001303,PEINT-DUPO,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001325,,"SELON PLANS, DEVIS ET ADDENDAS POUR CONSTRUCTION",001,0.0000,,0.0000,PMRECQNUX,0001305,F-DAIGLE--,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001325,,DE JACQUES ET GERVAIS ARCHITECTE ET ENERCO GROUPE CONSEIL,002,0.0000,,0.0000,X2G8NBHM2,0001305,F-DAIGLE--,FALSE,3,
0000023019,FESTIVAL-W,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001325,08000,"PORTES, CADRES ET QUINCAILLERIE",003,19197.0000,33200,19197.0000,VB77PXBC4,0001305,F-DAIGLE--,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001326,,"SELON PLANS, DEVIS ET ADDENDAS POUR CONSTRUCTION",001,0.0000,,0.0000,05OKVPW2C,0001306,VAILLANCOU,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001326,,DE JACQUES ET GERVAIS ARCH. ET ENERCO GROUPE CONSEIL,002,0.0000,,0.0000,F883KGDNQ,0001306,VAILLANCOU,FALSE,3,
0000023019,FESTIVAL-W,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001326,07330,GOUTTIÈRE - DESCENTE - COUDE,003,29640.0000,33500,29640.0000,XP5E44RNN,0001306,VAILLANCOU,FALSE,3,
