Numéro de projet,Code d'activité,Pourcentage de profit,Dépense à venir,Facturé à date
0000007010,10000,0.00,0.00,1971.61
0000007010,25001,0.00,0.00,-27331.00
0000007010,25002,0.00,0.00,-2150.00
0000007010,25003,0.00,0.00,-429.42
0000007011,00000,0.00,0.00,4785.00
0000007011,06100,223.41,0.00,0.00
0000007012,00000,0.00,0.00,4700.00
0000007012,01800,18.33,0.00,0.00
0000007013,00000,0.00,0.00,9873.75
0000007013,16000,28.23,0.00,0.00
0000007014,00400,104.98,0.00,979.98
0000007014,00401,0.00,0.00,2706.48
0000007014,01800,0.00,0.00,1612.80
0000007014,06100,0.00,0.00,11465.99
0000007014,06101,0.00,0.00,33771.95
0000007014,07100,0.00,0.00,6945.65
0000007014,08100,0.00,0.00,1814.40
0000007014,08500,0.00,0.00,95527.07
0000007014,14800,0.00,0.00,1640.80
0000007015,00400,102.53,0.00,977.53
0000007015,00401,0.00,0.00,1013.13
0000007015,01800,0.00,0.00,728.07
0000007015,06100,0.00,0.00,2676.10
0000007015,06101,0.00,0.00,18660.71
0000007015,07400,0.00,0.00,1699.23
0000007015,08500,0.00,0.00,31269.97
0000007015,14800,0.00,0.00,1500.93
0000007015,25001,0.00,0.00,1568.78
0000007016,00400,105.12,0.00,980.12
0000007016,00401,0.00,0.00,2948.40
0000007016,01800,0.00,0.00,1730.40
0000007016,06100,0.00,0.00,5273.36
0000007016,06101,0.00,0.00,47403.90
0000007016,07400,0.00,0.00,2787.67
0000007016,08100,0.00,0.00,8014.72
0000007016,08120,0.00,0.00,9128.00
0000007016,08500,0.00,0.00,89264.80
0000007016,14800,0.00,0.00,2321.20
0000007016,25001,0.00,0.00,-1066.00
0000007017,00000,0.00,0.00,1119.00
0000007018,00000,0.00,0.00,4695.00
0000007018,06100,307.45,0.00,0.00
0000007019,00000,0.00,0.00,6756.34
0000007019,01800,5.71,0.00,0.00
0000007020,00000,0.00,0.00,1508.80
0000007020,06100,65.50,0.00,0.00
0000007021,00000,0.00,0.00,3200.00
0000007021,06100,142.78,0.00,0.00
0000007022,00000,0.00,0.00,1612.80
0000007023,00000,0.00,0.00,4788.00
0000007024,00000,0.00,0.00,21765.52
0000007025,00000,0.00,0.00,832.68
0000007026,00000,0.00,0.00,21813.88
0000007026,01800,71.53,0.00,0.00
0000007027,00000,0.00,0.00,6612.50
0000007028,00000,0.00,0.00,20658.44
0000007029,00000,0.00,0.00,2560.00
0000007029,06100,279.95,0.00,0.00
0000007030,00000,0.00,0.00,4079.50
0000007031,00000,0.00,0.00,5381.23
0000007031,06100,530.92,0.00,0.00
0000007032,00400,0.00,0.00,1346.96
0000007032,00401,0.00,0.00,2097.28
0000007032,01800,0.00,0.00,2034.00
0000007032,02070,0.00,0.00,11634.48
0000007032,06080,0.00,0.00,32507.84
0000007032,06100,0.00,0.00,5607.06
0000007032,06101,0.00,0.00,21917.48
0000007032,07200,0.00,0.00,13435.70
0000007032,07500,0.00,0.00,4520.00
0000007032,07620,0.00,0.00,13411.97
0000007032,14800,0.00,0.00,3107.50
0000007032,25001,0.00,0.00,3093.78
0000007032,25002,0.00,0.00,436.56
0000007033,00000,0.00,0.00,4818.24
0000007034,00000,0.00,0.00,2325.00
0000007035,00000,0.00,0.00,5911.00
0000007035,06100,384.94,0.00,0.00
0000007036,00000,0.00,0.00,17269.89
0000007036,03200,378.05,0.00,0.00
0000007037,00000,0.00,0.00,4493.50
0000007037,01800,40.36,0.00,0.00
0000007038,00100,314.98,0.00,2358.48
0000007038,00401,0.00,0.00,2189.36
0000007038,01800,0.00,0.00,8367.88
0000007038,06100,0.00,0.00,1621.62
0000007038,06101,0.00,0.00,35600.54
0000007038,07210,0.00,0.00,351.09
0000007038,07900,0.00,0.00,351.09
0000007038,08520,0.00,0.00,57400.79
0000007038,14840,0.00,0.00,6523.72
0000007038,25001,0.00,0.00,-18247.96
0000007038,25002,0.00,0.00,2574.00
0000007038,25003,0.00,0.00,918.20
0000007039,00000,0.00,0.00,5505.00
0000007040,00000,0.00,0.00,5390.00
0000007041,00000,0.00,0.00,12565.00
0000007041,02800,69.61,0.00,0.00
0000007042,00000,0.00,0.00,1525.69
0000007043,00000,0.00,0.00,19348.00
0000007043,01800,30.76,0.00,0.00
0000007044,00000,0.00,0.00,3932.50
0000007045,00000,0.00,0.00,135750.00
0000007045,01800,52.49,0.00,0.00
0000007046,00000,0.00,0.00,44345.60
0000007046,08000,108.07,0.00,0.00
0000007047,00000,0.00,0.00,13000.00
0000007048,00000,0.00,0.00,8700.00
0000007048,06100,649.84,0.00,0.00
0000007049,00000,0.00,0.00,1489.64
0000007050,00000,0.00,0.00,66769.34
0000007051,00000,0.00,0.00,11110.58
0000007051,00400,256.90,0.00,0.00
0000007052,00000,0.00,0.00,14346.06
0000007052,01800,14.70,0.00,0.00
0000007053,00000,0.00,0.00,999.88
0000007054,00000,0.00,0.00,40815.71
0000007055,00000,0.00,0.00,57472.43
0000007055,01800,35.03,0.00,0.00
0000007056,00400,7556.31,0.00,48356.31
0000007056,00401,0.00,0.00,4623.45
0000007056,02200,0.00,0.00,114341.48
0000007056,02820,0.00,0.00,14220.07
0000007056,03100,0.00,0.00,13306.05
0000007056,03200,0.00,0.00,13870.35
0000007056,03300,0.00,0.00,44635.26
0000007056,03360,0.00,0.00,10249.83
0000007056,05100,0.00,0.00,28300.26
0000007056,06100,0.00,0.00,128530.72
0000007056,07200,0.00,0.00,32524.19
0000007056,07260,0.00,0.00,649.65
0000007056,07270,0.00,0.00,2717.17
0000007056,07310,0.00,0.00,17208.72
0000007056,07410,0.00,0.00,45210.23
0000007056,07469,0.00,0.00,12950.39
0000007056,08110,0.00,0.00,15452.99
0000007056,08370,0.00,0.00,2139.83
0000007056,08400,0.00,0.00,35593.45
0000007056,09130,0.00,0.00,13012.05
0000007056,09250,0.00,0.00,32358.22
0000007056,09600,0.00,0.00,18375.25
0000007056,09900,0.00,0.00,9255.20
0000007056,10000,0.00,0.00,2222.81
0000007056,11405,0.00,0.00,37250.78
0000007056,12300,0.00,0.00,1944.22
0000007056,15001,0.00,0.00,76367.54
0000007056,15401,0.00,0.00,32541.98
0000007056,16000,0.00,0.00,108858.54
0000007056,25001,0.00,0.00,1023.34
0000007056,25002,0.00,0.00,1558.91
0000007056,25003,0.00,0.00,828.79
0000007056,25004,0.00,0.00,540.00
0000007056,25005,0.00,0.00,383.65
0000007056,25006,0.00,0.00,2534.76
0000007056,25007,0.00,0.00,1232.28
0000007056,25009,0.00,0.00,11304.15
0000007056,25010,0.00,0.00,357.37
0000007056,25011,0.00,0.00,1200.00
0000007056,25012,0.00,0.00,769.26
0000007056,25013,0.00,0.00,14573.52
0000007056,25016,0.00,0.00,4091.80
0000007056,25017,0.00,0.00,163.56
0000007056,25018,0.00,0.00,-2012.00
0000007056,25021,0.00,0.00,5409.60
0000007057,00000,0.00,0.00,442.87
0000007058,00000,0.00,0.00,2666.25
0000008001,00000,0.00,0.00,18964.00
0000008002,00000,0.00,0.00,832.00
0000008003,00000,0.00,0.00,740.32
0000008004,00000,0.00,0.00,3560.00
0000008006,00000,0.00,0.00,2951.20
0000008007,00400,0.00,0.00,13132.00
0000008007,00401,632.40,0.00,5895.90
0000008007,01800,0.00,0.00,2610.72
0000008007,04000,0.00,0.00,6018.78
0000008007,06100,0.00,0.00,34186.52
0000008007,06101,0.00,0.00,115038.84
0000008007,07200,0.00,0.00,8116.19
0000008007,07410,0.00,0.00,19891.38
0000008007,07469,0.00,0.00,3470.53
0000008007,08110,0.00,0.00,9282.56
0000008007,08120,0.00,0.00,16296.00
0000008007,08520,0.00,0.00,62997.18
0000008007,08900,0.00,0.00,24298.40
0000008007,25001,0.00,0.00,19311.80
0000008007,25002,0.00,0.00,2770.86
0000008007,25003,0.00,0.00,601.29
0000008008,00000,0.00,0.00,360.52
0000008009,00000,0.00,0.00,7031.94
0000008010,00000,0.00,0.00,960.00
0000008011,00000,0.00,0.00,1560.00
0000008012,00000,0.00,0.00,47433.66
0000008013,00000,0.00,0.00,26734.60
0000008014,00000,0.00,0.00,219.67
0000008015,00000,0.00,0.00,171.31
0000008016,00000,0.00,0.00,41930.00
0000008016,03200,31.25,0.00,0.00
0000008017,00100,0.00,0.00,1150.00
0000008017,00400,0.00,0.00,1380.00
0000008017,06220,0.00,0.00,11184.90
0000008017,07450,0.00,0.00,37086.35
0000008017,07460,0.00,0.00,8304.15
0000008017,07700,0.00,0.00,3663.90
0000008018,00400,60.10,0.00,560.10
0000008018,00401,0.00,0.00,2820.89
0000008018,01800,0.00,0.00,669.78
0000008018,03100,0.00,0.00,13655.70
0000008018,03300,0.00,0.00,15561.22
0000008018,03360,0.00,0.00,3633.56
0000008018,06100,0.00,0.00,38286.86
