Numéro de projet,Code d'activité,Pourcentage de profit,Dépense à venir,Facturé à date
0000003027,25005,0.00,0.00,86.40
0000003027,25006,0.00,0.00,958.56
0000003027,25007,0.00,0.00,-1980.00
0000003028,00400,0.00,0.00,42229.00
0000003028,02220,0.00,0.00,10625.00
0000003028,02450,0.00,0.00,18910.00
0000003028,06100,0.00,0.00,70350.00
0000003028,07330,0.00,0.00,8750.00
0000003028,07460,0.00,0.00,22200.00
0000003028,08000,0.00,0.00,41240.00
0000003028,09200,0.00,0.00,22015.00
0000003028,09600,0.00,0.00,18500.00
0000003028,09900,0.00,0.00,9850.00
0000003028,12400,0.00,0.00,63990.00
0000003028,15001,0.00,0.00,28000.00
0000003028,15401,0.00,0.00,36600.00
0000003028,16000,0.00,0.00,49025.00
0000003028,25001,0.00,0.00,-105728.00
0000003028,25002,0.00,0.00,2447.60
0000003028,25003,0.00,0.00,900.00
0000003028,25004,0.00,0.00,8006.00
0000003028,25005,0.00,0.00,562.60
0000003028,25006,0.00,0.00,-800.00
0000004001,00000,0.00,0.00,23861.00
0000004002,00000,0.00,0.00,10183.15
0000004002,06100,50.08,0.00,0.00
0000004003,00000,0.00,0.00,1176.50
0000004004,00000,0.00,0.00,8250.00
0000004005,00000,0.00,0.00,3943.31
0000004006,00000,0.00,0.00,5650.95
0000004007,00000,0.00,0.00,12125.00
0000004008,00000,0.00,0.00,145000.00
0000004009,00000,0.00,0.00,5373.57
0000004010,00000,0.00,0.00,6994.18
0000004011,00000,0.00,0.00,17186.55
0000004012,00000,0.00,0.00,16440.00
0000004013,00000,0.00,0.00,23472.37
0000004015,00000,0.00,0.00,15537.00
0000004017,00000,0.00,0.00,3251.20
0000004018,00100,0.00,0.00,50000.00
0000004018,00400,0.00,0.00,28000.00
0000004018,02070,0.00,0.00,26000.00
0000004018,02220,0.00,0.00,10000.00
0000004018,03000,0.00,0.00,23000.00
0000004018,05000,0.00,0.00,3000.00
0000004018,06100,0.00,0.00,54635.00
0000004018,07000,0.00,0.00,10000.00
0000004018,07110,0.00,0.00,2000.00
0000004018,07400,0.00,0.00,40000.00
0000004018,07469,0.00,0.00,23000.00
0000004018,08000,0.00,0.00,18000.00
0000004018,09600,0.00,0.00,6000.00
0000004018,09900,0.00,0.00,15000.00
0000004018,15000,0.00,0.00,68000.00
0000004018,16000,0.00,0.00,90000.00
0000004018,25001,0.00,0.00,805.00
0000004018,25002,0.00,0.00,5091.37
0000004018,25003,0.00,0.00,697.58
0000004020,00000,0.00,0.00,1886.18
0000004021,00000,0.00,0.00,4847.06
0000004022,00000,0.00,0.00,35320.00
0000004024,00000,0.00,0.00,10128.08
0000004025,00000,0.00,0.00,25163.31
0000004026,00000,0.00,0.00,1011.78
0000004027,00000,0.00,0.00,11800.00
0000004028,00000,0.00,0.00,1650.00
