Numéro d'activité,Description de l'activité (francais),Description de l'activité (anglais),Code interne,Numéro de fournisseur,Numéro de G/L Achat,Montant en com. fournisseur,Montant en B/O
13600,Équipement d'énergie solaire et éolienne,Solar and wind energy equipment,,,41100,0.00,0.00
13610,Capteurs solaires à plaques planes,Flat plate solar collectors,,,41100,0.00,0.00
13620,Capteurs solaires à concentration,Concentrated solar collectors,,,41100,0.00,0.00
13625,Capteurs solaires à tubes sous vide,Vacuumed tubular solar collectors,,,41100,0.00,0.00
13630,Éléments de capteurs solaires,Solar collectors elements,,,41100,0.00,0.00
13640,Équipement solaire monobloc,Monoblock solar equipment,,,41100,0.00,0.00
13650,Capteurs photovoltaïques,Photovoltaics collectors,,,41100,0.00,0.00
13660,Équipement d'énergie éolienne,Wind generator equipment,,,41100,0.00,0.00
13700,Accès et surveillance de sécurité,Security access and surveillance,,,41100,0.00,0.00
13800,Commande et automation de bâtiment,Building automation and control,,,33500,-3238.20,3238.20
13850,Détection et alarme,Detection and alarm,,,33500,0.00,0.00
13900,Extinction d'incendie,Fire suppression and supervisory systems,,,41100,0.00,0.00
13910,Matér. et méth. de base de protect. incendie,Fire protection basic materials and methods,,,33500,0.00,0.00
13920,Pompes d'incendie,Fire pumps,,,41100,0.00,0.00
13930,Réseau de gicleurs sous eau,Wet pipe fire suppression sprinklers,,,33500,5349.37,382.50
13935,Réseau de gicleurs à air comprimé,Dry-pipe fire suppression sprinklers,,,41100,0.00,0.00
13940,Réseau de gicleurs à préaction,Pre-action fire suppression sprinklers,,,41100,0.00,0.00
13945,Réseau de gicleurs combinés air/préaction,Comb. dry-pipe and pre-action fire supp. spr.,,,41100,0.00,0.00
13950,Réseau de gicleurs de type déluge,Deluge fire suppression sprinklers,,,41100,0.00,0.00
13955,Extinction d'incendie à mousse,Foam fire extinguishing,,,41100,0.00,0.00
13960,Extinction d'incendie au dioxyde de carbone,Carbon dyoxide fire extinguishing,,,41100,0.00,0.00
13965,Systèmes alternatifs d'extinction d'incendie,Alternative fire extinguishing systems,,,41100,0.00,0.00
13970,Ext. d'incendie à produits chimiques secs,Dry chemical fire extinguishing,,,41100,0.00,0.00
13975,Colonnes montantes et robinets armés,Standpipes and hoses,,,41100,0.00,0.00
14000,SYSTEMES TRANSPORTEURS,CONVEYING SYSTEMS,,,41100,0.00,0.00
14100,Monte-Plats,Dumbwaiter,,,41100,0.00,0.00
14110,Monte-plats manuels,Manuel dumbwaiter,,,41100,0.00,0.00
14120,Monte-plats électriques,Electric dumbwaiter,,,41100,0.00,0.00
14140,Monte-plats hydrauliques,Hydraulic dumbwaiter,,,41100,0.00,0.00
14200,Ascenseurs et monte-charge,Elevators,,,33500,139000.00,0.00
14210,Ascenseurs et monte-charge à traction élec.,Electric traction freight elev. and elevators,,,41100,0.00,0.00
14240,Ascenseurs et monte-charge hydrauliques,Hydraulic elevators and freight-elevators,,,33500,0.00,0.00
14270,Cabines d'ascenseurs fabriqué sur commande,Custom made elevator stalls,,,41100,0.00,0.00
14280,Équipement et commandes d'ascenseur,Elevator control equipment,,,33500,0.00,0.00
14290,Rénovation d'ascenseur et de monte-charge,Elevator and freight-elevator renovation,,,41100,0.00,0.00
14300,Escaliers et trottoirs mobiles,Escalators and moving walkways,,,41100,0.00,0.00
14400,Appareils élévateurs,Elevator apparatus,,,41100,0.00,0.00
14410,Soulève-personne,Lift-person,,,41100,0.00,0.00
14420,Appareils élévateurs pour fauteuil roulant,Elevator apparatus for wheel chairs,,,41100,0.00,0.00
14430,Plates-formes élévatrices,Elevator platforms,,,41100,0.00,0.00
14440,Monte-charge de trottoir,Sidewalk elevator,,,41100,0.00,0.00
14450,Appareils élévateurs de véhicule,Elevator apparatus for vehicle,,,41100,0.00,0.00
14500,Manutention de matériau,Material handling,,,41100,0.00,0.00
14510,Transport de matériau,Material transport,,,33500,0.00,0.00
14530,Transport de courrier,Mail transport,,,41100,0.00,0.00
14540,Transport et distribution de bagages,Luggage transport and distribution,,,41100,0.00,0.00
14550,Transporteurs,Conveyors,,,41100,0.00,0.00
14560,Goulottes,Spouts,,,41100,0.00,0.00
14570,Distributeurs,Distributors,,,41100,0.00,0.00
14580,Systèmes à tube pneumatique,Pneumatic pipeline systems,,,41100,0.00,0.00
14600,Palans et grues,Hoists and cranes,,,41100,0.00,0.00
14605,Rails d'appareil élévateur,Crane rails,,,41100,0.00,0.00
14610,Palans fixes,Fixed hoist,,,41100,0.00,0.00
14620,Chariots-palans,Trolly hoists,,,41100,0.00,0.00
14630,Ponts grues,Bridge cranes,,,41100,0.00,0.00
14640,Grues à portique,Gantry cranes,,,41100,0.00,0.00
14650,Grues à flèche,Jib cranes,,,41100,0.00,0.00
14670,Grues à tour,Tower cranes,,,41100,0.00,0.00
14680,Grues mobiles,Mobile cranes,,,41100,0.00,0.00
14690,Derricks,Derricks,,,41100,0.00,0.00
14700,Plaques tournantes,Turning plates,,,41100,0.00,0.00
14800,Échafaudages,Scaffolding,,,41100,0.00,0.00
14810,Échafaudages suspendus,Suspended scaffolding,,,41100,0.00,0.00
14820,Grimpeurs à corde,Rope climber,,,41100,0.00,0.00
14830,Plates-formes télescopiques,Telescopic platforms,,,41100,0.00,0.00
14840,Échafaudages motorisés,Motorized scaffolding,,,41100,0.00,0.00
14900,Moyens de transport,Transportation,,,41100,0.00,0.00
14910,Transporteurs de personne,People carriers,,,41100,0.00,0.00
14920,Monorails,Monorails,,,41100,0.00,0.00
14930,Funiculaires,Funiculars,,,41100,0.00,0.00
14940,Tramways aériens,Airial tramways,,,41100,0.00,0.00
14950,Transbordeurs de passagers d'avion,Airplane passenger ferry,,,41100,0.00,0.00
15000,MÉCANIQUE,MECHANICAL,,,33500,0.00,0.00
15001,Ventilation,,,,,1037855.00,226476.21
15002,Démantèlement plomberie/vent./calor.,,,,33500,0.00,0.00
15050,Matériaux et méthodes de base - mécanique,Basic mechanical methods and materials,,,41100,0.00,0.00
15060,Étriers et supports,Joist hangers and suports,,,41100,0.00,0.00
15070,"Isolation contre bruit, vibrations et séismes","Mechanical sound, vibrat. and seismic control",,,41100,0.00,0.00
15075,Identification des installations de mécanique,Identification of mechanical installations,,,41100,0.00,0.00
15080,Calorifugeage de mécanique,Mechanical insulation,,,33500,0.00,0.00
15090,Restauration et modernisation de mécanique,Mechanical restoration and modernisation,,,33500,105410.00,0.00
15100,Tuyauterie de services du bâtiment,Building services piping,,,33500,0.00,0.00
15105,Tuyaux et tubes,Pipes and tubes,,,41100,0.00,0.00
15110,Robinetterie,Valves,,,41100,0.00,0.00
15120,Accessoires spéciaux pour tuyauterie,Piping specialties,,,41100,0.00,0.00
15130,Pompes,Pumps,,,41100,0.00,0.00
15140,Tuyauterie d'eau domestique,Domestic water piping,,,41100,0.00,0.00
15150,Tuyauterie de drainage et d'évent sanitaire,Sanitary waste and vent piping,,,41100,0.00,0.00
15160,Tuyauterie de drainage pluvial,Storm drainage piping,,,41100,0.00,0.00
15170,Tuyauterie de piscine et de fontaine,Swiming pool and fountain piping,,,41100,0.00,0.00
15180,Tuyauterie de chauffage et de refroidissement,Heating and cooling piping,,,41100,0.00,0.00
15190,Tuyauterie de combustible,Fuel piping,,,41100,0.00,0.00
15200,Tuyauterie de procédé,Process piping,,,41100,0.00,0.00
15210,Tuyauterie de procédé à air et à gaz,Process air and gas piping,,,33500,0.00,0.00
15220,Tuyauterie de procédé à eaux et d'eaux-vannes,Process water and waste piping,,,33500,0.00,0.00
15230,Tuyauterie de procédé industriel,Industrial process piping,,,33500,0.00,0.00
15260,Calorifuge,,,,33500,9100.00,0.00
15300,Tuyauterie de protection incendie,Fire protection piping,,,33500,0.00,3392.00
15400,Appareils et équipement de plomberie,Plumbing fixtures and equipment,,,33500,305800.00,0.00
15401,Plomberie,,,,,5468.02,223344.12
15410,Appareils sanitaires,Plumbing fixtures,,,33500,0.00,0.00
15440,Pompes de plomberie,Plumbing pumps,,,41100,0.00,0.00
15450,Réservoirs de stockage d'eau potable,Potable water storage tanks,,,41100,0.00,0.00
15460,Équip. de conditionnement d'eau domestique,Domestic water conditionning equipment,,,33500,0.00,0.00
15470,Équipement de filtration d'eau domestique,Domestic water filtration equipment,,,41100,0.00,0.00
15480,Chauffe-eau domestiques,Domestic water heaters,,,41100,0.00,0.00
15490,Équipement de piscine et de fontaine,Pool and fountain equipment,,,41100,0.00,0.00
15500,Générateurs de chaleur,Heat-generation equipment,,,41100,0.00,0.00
15510,Chaudières et acc. de production d'eau chaude,Heating and boiler accessories,,,41100,0.00,0.00
15520,Équipement d'alimentation en eau,Feedwater equipment,,,41100,0.00,0.00
15530,Générateurs d'air chaud,Furnaces,,,41100,0.00,0.00
15540,Aérothermes à combustible,Fuel-fired heaters,,,41100,0.00,0.00
15550,"Carneaux, cheminées et conduits de fumée","Breechings, chimneys and stacks",,,41100,0.00,0.00
15600,Équipement de réfrigération,Refrigerant equipment,,,41100,0.00,0.00
15610,Compresseurs frigorifiques,Refrigeration compressors,,,41100,0.00,0.00
15620,Refroidisseurs d'eau monoblocs,Packaged water chillers,,,41100,0.00,0.00
15630,Systèmes de surveillance frigorifique,Refrigeration surveillance systems,,,41100,0.00,0.00
15640,Tours de refroidissement monoblocs,Packaged cooling towers,,,41100,0.00,0.00
15650,Tours de refroidissement montées sur place,In place cooling towers,,,41100,0.00,0.00
15660,Refroidisseurs de liq. et cond. évaporatifs,Liquid coolers and evaporative condensers,,,41100,0.00,0.00
15670,Groupes de compresseur-condensateur frigor.,Refrigerant condensing units,,,41100,0.00,0.00
15700,"Éq. de chauffage, ventilation, et cond. d'air","Heating, ventilating and air conditioning",,,33500,1440.00,0.00
15710,Échangeurs de chaleur,Heat exchangers,,,41100,0.00,0.00
15720,Groupes de traitement de l'air,Air handling units,,,41100,0.00,0.00
15730,Appareils de climatisation autonomes,Unitary air conditioning equipment,,,41100,0.00,0.00
15740,Pompes à chaleur,Heat pumps,,,41100,0.00,0.00
15750,Équipement de contrôle de l'humidité,Humidity control equipment,,,33500,0.00,0.00
15760,Appareils de chauffage et de refroidissement,Terminal heating and cooling units,,,41100,0.00,0.00
15770,Éq. de plancher chauffant et fonte de neige,Floor-heating and snow-melting equipment,,,41100,0.00,0.00
15780,Équipement de récupération d'énergie,Energy recuperation equipment,,,41100,0.00,0.00
15800,Distribution d'air,Air distribution,,,33500,0.00,0.00
15810,Gaines,Ducts,,,41100,0.00,0.00
15820,Accessoires de gaine,Ducts accessories,,,41100,0.00,0.00
15830,Ventilateurs,Ventilators,,,41100,0.00,0.00
15840,Unités terminales d'air,Air terminal (curtain) units,,,41100,0.00,0.00
15850,Sorties et entrées d'air,Air outlets and inlets,,,41100,0.00,0.00
15860,Dispositifs de nettoyage d'air,Air cleaning devices,,,41100,0.00,0.00
15900,Instrumentation et régulation de CVCA,HVAC instrumentation and controls,,,33500,0.00,166165.00
15905,Instrumentation de CVCA,HVAC instrumentation,,,33500,0.00,0.00
15910,Commandes numériques directes,Direct digital controls,,,41100,0.00,0.00
15915,Commandes électroniques et électriques,Electric and electronic control,,,41100,0.00,0.00
15920,Commandes pneumatiques,Pneumatic controls,,,41100,0.00,0.00
15925,Commandes pneumatiques et électriques,Pneumatic and electrical controls,,,41100,0.00,0.00
15930,Commandes autonomes,Stand-alone controls,,,41100,0.00,0.00
15935,Commandes de systèmes de bâtiment,Building systems controls,,,33500,0.00,0.00
15940,Séquence de fonctionnement,Sequence of operation,,,41100,0.00,0.00
15950,"Essai, réglage et équilibrage","Testing, adjusting and balancing",,,33500,10550.00,8516.32
16000,ÉLECTRICITÉ,ELECTRICAL,,,33500,408835.00,5827.44
16001,Démentèlement électricité,,,,,0.00,0.00
16050,Matériaux et méthodes de base en électricité,Basic electrical materials and methods,,,41100,0.00,0.00
16060,Mise à terre et continuité des masses,Grounding and mass continuity,,,41100,0.00,0.00
16070,Étriers et supports,Joist hangers and suports,,,41100,0.00,0.00
16075,Identification des installations électriques,Identification of electrical installations,,,41100,0.00,0.00
16080,Essais électriques,Electrical testing,,,33500,0.00,0.00
16090,Restauration et réparation,Restoration and repairs,,,41100,0.00,0.00
16100,Méthodes de câblage,Wiring methods,,,41100,0.00,0.00
16120,Conducteurs et câbles,Cable conductors,,,41100,0.00,0.00
16130,Chemins de câbles et boîtiers,Raceways and boxes,,,33500,0.00,0.00
